timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1669133905867,201,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-1,text,true,,525,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,201,0,101
1669133906072,46,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-1,text,true,,525,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,46,0,0
1669133907867,205,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-4,text,true,,524,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,205,0,83
1669133907867,206,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-3,text,true,,524,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,206,0,82
1669133908073,109,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-4,text,true,,524,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,109,0,0
1669133911875,188,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-7,text,true,,525,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,188,0,89
1669133911875,188,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-8,text,true,,525,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,188,0,84
1669133912063,39,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-7,text,true,,523,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,39,0,0
1669133913599,165,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-6,text,true,,523,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,165,0,76
1669133913599,173,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-2,text,true,,523,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,173,0,77
1669133914031,108,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-5,text,true,,525,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,108,0,78
1669133915080,111,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-4,text,true,,524,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,111,0,81
1669133915963,100,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-8,text,true,,522,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,100,0,0
1669133915963,201,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-10,text,true,,524,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,201,0,87
1669133916064,117,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-8,text,true,,523,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,117,0,86
1669133917861,103,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-2,text,true,,524,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,103,0,0
1669133917861,104,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-5,text,true,,524,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,104,0,0
1669133917861,120,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-3,text,true,,524,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,120,0,0
1669133919077,122,dish-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-1,text,true,,524,1744,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,122,0,83
1669133919565,34,option-dispo,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-10,text,true,,524,1571,10,11,https://cisqa1.services.uat.tbst.me/event/zelty,34,0,0
